"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"15";"CESAR SABÁ";"MDB";"959";"   1,21";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"10";"FABIO GENTIL";"REPUBLICANOS - REPUBLICANOS / PP / PODE / PL / PMN / PTC / PSB / PV / PSDB / AVANTE";"62075";"  78,17";"Eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"27";"AJ ALVES";"DC";"192";"   0,24";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"14";"CONSTANTINO CASTRO";"PTB";"2773";"   3,49";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07595";"15/11/2020";"22:18:16";" 100,00";"1";"o";"11";"ANTONIO MARIO";"PP";"712";"  10,00";"Não eleito";"prefeito";"2103109";"MA";"NE";2020-11-16 17:49:55
"426";"07595";"15/11/2020";"22:18:16";" 100,00";"1";"o";"25";"JADSON";"DEM - PSB / PSL / PL / DEM";"1878";"  26,39";"Não eleito";"prefeito";"2103109";"MA";"NE";2020-11-16 17:49:55
"426";"07595";"15/11/2020";"22:18:16";" 100,00";"1";"o";"12";"DRA SUELY";"PDT - PDT / PC do B / PSDB";"1329";"  18,67";"Não eleito";"prefeito";"2103109";"MA";"NE";2020-11-16 17:49:55
"426";"07595";"15/11/2020";"22:18:16";" 100,00";"1";"o";"10";"FERNANDO CUBA";"REPUBLICANOS";"3198";"  44,93";"Eleito";"prefeito";"2103109";"MA";"NE";2020-11-16 17:49:55
"426";"07609";"15/11/2020";"22:24:09";" 100,00";"1";"o";"20";"NEUTON TALISMÃ";"PSC";"902";"   7,78";"Não eleito";"prefeito";"2104552";"MA";"NE";2020-11-16 17:49:55
"426";"07609";"15/11/2020";"22:24:09";" 100,00";"1";"o";"65";"PROFESSOR GERALDO BRAGA";"PC do B - PDT / PATRIOTA / PC do B";"5359";"  46,22";"Eleito";"prefeito";"2104552";"MA";"NE";2020-11-16 17:49:55
